 

stn;time;ths200dv;qths200dv;mths200dv;th9120dv;qth9120dv;mth9120dv;ths200d0;qths200d0;mths200d0;tre200dx;qtre200dx;mtre200dx;tre200dn;qtre200dn;mtre200dn;tre200d0;qtre200d0;mtre200d0;tre200dv;qtre200dv;mtre200dv;t24200ds;qt24200ds;mt24200ds;t12200ds;qt12200ds;mt12200ds;t06200ds;qt06200ds;mt06200ds;tre200nx;qtre200nx;mtre200nx;tre200n0;qtre200n0;mtre200n0;tre200jx;qtre200jx;mtre200jx;tre200jn;qtre200jn;mtre200jn;tre200j0;qtre200j0;mtre200j0;t18200ds;qt18200ds;mt18200ds;tre200nn;qtre200nn;mtre200nn;tre005nn;qtre005nn;mtre005nn;tre005dx;qtre005dx;mtre005dx;tre005dn;qtre005dn;mtre005dn;tre005d0;qtre005d0;mtre005d0;hns010d0;qhns010d0;mhns010d0;hns002d0;qhns002d0;mhns002d0;hns003d0;qhns003d0;mhns003d0;hns004d0;qhns004d0;mhns004d0;hns005d0;qhns005d0;mhns005d0;hns000d0;qhns000d0;mhns000d0;hto000d0;qhto000d0;mhto000d0;hns000j0;qhns000j0;mhns000j0;hto000j0;qhto000j0;mhto000j0;htoautj0;qhtoautj0;mhtoautj0;htoautd0;qhtoautd0;mhtoautd0
ENG;19800101;-2.6;0;0;-3.9;0;0;-5.4;0;0;-2.2;0;-;-6.5;0;-;-5.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-5.0;0;-;-;-;-;-2.2;0;-;-6.5;0;-;-;-;-;-;-;-;-5.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;44;0;0;19;0;0;26;0;0;38;0;0;43;0;0;5;0;-;39;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800102;-3.5;0;0;-4.7;0;0;-6.3;0;0;-5.6;0;-;-6.8;0;-;-6.1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-5.6;0;-;-;-;-;-5.6;0;-;-6.6;0;-;-;-;-;-;-;-;-6.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;69;0;0;30;0;0;44;0;0;51;0;0;63;0;0;25;0;-;36;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800103;-3.9;0;0;-5.1;0;0;-6.7;0;0;-4.8;0;-;-7.7;0;-;-6.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-6.8;0;-;-;-;-;-4.8;0;-;-7.7;0;-;-;-;-;-;-;-;-6.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;75;0;0;32;0;0;37;0;0;51;0;0;58;0;0;7;0;-;55;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800104;-0.8;0;0;-2.0;0;0;-3.6;0;0;1.9;0;-;-9.8;0;-;-3.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;1.9;0;-;-;-;-;1.0;0;-;-6.8;0;-;-;-;-;-;-;-;-9.8;0;-;-;-;-;-;-;-;-;-;-;-;-;-;84;0;0;16;0;0;41;0;0;46;0;0;60;0;0;9;0;-;48;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800105;3.5;0;0;2.3;0;0;0.7;0;0;1.5;0;-;0.0;0;-;0.9;0;-;-;-;-;-;-;-;-;-;-;-;-;-;0.0;0;-;-;-;-;1.5;0;-;0.0;0;-;-;-;-;-;-;-;1.0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;90;0;0;15;0;0;22;0;0;47;0;0;52;0;0;6;0;-;46;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800106;1.7;0;0;0.5;0;0;-1.1;0;0;0.6;0;-;-3.4;0;-;-0.9;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-1.0;0;-;-;-;-;0.6;0;-;-2.0;0;-;-;-;-;-;-;-;-3.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;98;0;0;14;0;0;23;0;0;30;0;0;55;0;0;8;0;-;46;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800107;1.4;0;0;0.2;0;0;-1.4;0;0;-0.5;0;-;-1.8;0;-;-1.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-1.8;0;-;-;-;-;-0.5;0;-;-1.8;0;-;-;-;-;-;-;-;-1.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;105;0;0;20;0;0;26;0;0;35;0;0;42;0;0;12;0;-;50;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800108;-4.5;0;0;-5.7;0;0;-7.3;0;0;-1.2;0;-;-10.0;0;-;-7.1;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-9.3;0;-;-;-;-;-1.2;0;-;-10.0;0;-;-;-;-;-;-;-;-8.4;0;-;-;-;-;-;-;-;-;-;-;-;-;-;93;0;0;12;0;0;20;0;0;26;0;0;35;0;0;0;0;-;57;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800109;-3.6;0;0;-4.8;0;0;-6.4;0;0;-2.5;0;-;-12.6;0;-;-6.2;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-2.8;0;-;-;-;-;-2.5;0;-;-10.0;0;-;-;-;-;-;-;-;-12.6;0;-;-;-;-;-;-;-;-;-;-;-;-;-;93;0;0;7;0;0;19;0;0;27;0;0;33;0;0;7;0;-;52;0;-;-;-;-;-;-;-;-;-;-;-;-;-
ENG;19800110;-1.1;0;0;-2.2;0;0;-3.9;0;0;-2.5;0;-;-4.8;0;-;-3.7;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-4.8;0;-;-;-;-;-2.5;0;-;-4.8;0;-;-;-;-;-;-;-;-4.5;0;-;-;-;-;-;-;-;-;-;-;-;-;-;86;0;0;14;0;0;14;0;0;26;0;0;34;0;0;7;0;-;55;0;-;-;-;-;-;-;-;-;-;-;-;-;-
