"Date","Commune","Room.occupancy"
2013-01-01,"Engelberg","51.41"
2013-02-01,"Engelberg","64.5"
2013-03-01,"Engelberg","55.03"
2013-04-01,"Engelberg","35.36"
2013-05-01,"Engelberg","58.14"
2013-06-01,"Engelberg","64.89"
2013-07-01,"Engelberg","69.42"
2013-08-01,"Engelberg","69.68"
2013-09-01,"Engelberg","51.48"
2013-10-01,"Engelberg","39.91"
2013-11-01,"Engelberg","24.75"
2013-12-01,"Engelberg","46.51"
2014-01-01,"Engelberg","50.5"
2014-02-01,"Engelberg","61.6"
2014-03-01,"Engelberg","56.31"
2014-04-01,"Engelberg","36.7"
2014-05-01,"Engelberg","65"
2014-06-01,"Engelberg","74.01"
2014-07-01,"Engelberg","71.65"
2014-08-01,"Engelberg","72.4"
2014-09-01,"Engelberg","51.25"
2014-10-01,"Engelberg","45.63"
2014-11-01,"Engelberg","26.14"
2014-12-01,"Engelberg","47.85"
2015-01-01,"Engelberg","54.38"
2015-02-01,"Engelberg","73.15"
2015-03-01,"Engelberg","51.08"
2015-04-01,"Engelberg","52.96"
2015-05-01,"Engelberg","69.04"
2015-06-01,"Engelberg","77.93"
2015-07-01,"Engelberg","78.18"
2015-08-01,"Engelberg","74.84"
2015-09-01,"Engelberg","56.94"
2015-10-01,"Engelberg","49.26"
2015-11-01,"Engelberg","26.75"
2015-12-01,"Engelberg","45.24"
2016-01-01,"Engelberg","48.55"
2016-02-01,"Engelberg","65.65"
2016-03-01,"Engelberg","54.43"
2016-04-01,"Engelberg","38.9"
2016-05-01,"Engelberg","65.77"
2016-06-01,"Engelberg","68.55"
2016-07-01,"Engelberg","70.3"
2016-08-01,"Engelberg","67.85"
2016-09-01,"Engelberg","48.62"
2016-10-01,"Engelberg","37.71"
2016-11-01,"Engelberg","18.93"
2016-12-01,"Engelberg","39.01"
2017-01-01,"Engelberg","43.3"
2017-02-01,"Engelberg","66.05"
2017-03-01,"Engelberg","57.03"
2017-04-01,"Engelberg","49.04"
2017-05-01,"Engelberg","72.7"
2017-06-01,"Engelberg","75.18"
2017-07-01,"Engelberg","72.46"
2017-08-01,"Engelberg","71.06"
2017-09-01,"Engelberg","52.03"
2017-10-01,"Engelberg","44.3"
2017-11-01,"Engelberg","22.95"
2017-12-01,"Engelberg","47.61"
2018-01-01,"Engelberg","56.43"
2018-02-01,"Engelberg","75.82"
2018-03-01,"Engelberg","61.55"
2018-04-01,"Engelberg","49.27"
2018-05-01,"Engelberg","76.09"
2018-06-01,"Engelberg","81.32"
2018-07-01,"Engelberg","78.09"
2018-08-01,"Engelberg","80.4"
2018-09-01,"Engelberg","67.86"
2018-10-01,"Engelberg","49.51"
2018-11-01,"Engelberg","24.98"
2018-12-01,"Engelberg","49.46"
2019-01-01,"Engelberg","58.39"
2019-02-01,"Engelberg","79.32"
2019-03-01,"Engelberg","64.08"
2019-04-01,"Engelberg","50.69"
2019-05-01,"Engelberg","74.4"
2019-06-01,"Engelberg","79.58"
2019-07-01,"Engelberg","78.62"
2019-08-01,"Engelberg","77.59"
2019-09-01,"Engelberg","52.51"
2019-10-01,"Engelberg","45.11"
2019-11-01,"Engelberg","28.81"
2019-12-01,"Engelberg","47.97"
2020-01-01,"Engelberg","57.14"
2020-02-01,"Engelberg","74.69"
2020-03-01,"Engelberg","34.9"
2020-04-01,"Engelberg","3.55"
2020-05-01,"Engelberg","15.2"
2020-06-01,"Engelberg","22.13"
2020-07-01,"Engelberg","43.31"
2020-08-01,"Engelberg","43.24"
2020-09-01,"Engelberg","37.07"
2020-10-01,"Engelberg","25.63"
2020-11-01,"Engelberg","18.83"
2020-12-01,"Engelberg","26.14"
2021-01-01,"Engelberg","22.41"
2021-02-01,"Engelberg","54.86"
2021-03-01,"Engelberg","28.84"
2021-04-01,"Engelberg","38.18"
2021-05-01,"Engelberg","30"
2021-06-01,"Engelberg","24.35"
2021-07-01,"Engelberg","38.46"
2021-08-01,"Engelberg","49.45"
2021-09-01,"Engelberg","36.07"
2021-10-01,"Engelberg","27.34"
2021-11-01,"Engelberg","31.87"
2021-12-01,"Engelberg","48.72"
2022-01-01,"Engelberg","44.15"
2022-02-01,"Engelberg","62.72"
2022-03-01,"Engelberg","54.07"
2022-04-01,"Engelberg","31.25"
2022-05-01,"Engelberg","28.49"
2022-06-01,"Engelberg","46.79"
2022-07-01,"Engelberg","59.93"
2022-08-01,"Engelberg","60.23"
2022-09-01,"Engelberg","47.9"
2022-10-01,"Engelberg","42.45"
2022-11-01,"Engelberg","26.7"
2022-12-01,"Engelberg","48.24"
2023-01-01,"Engelberg","50.38"
2023-02-01,"Engelberg","56.23"
