"Date","Commune","Room.occupancy"
2013-01-01,"Küssnacht (SZ)","28.52"
2013-02-01,"Küssnacht (SZ)","29.9"
2013-03-01,"Küssnacht (SZ)","32.17"
2013-04-01,"Küssnacht (SZ)","38.48"
2013-05-01,"Küssnacht (SZ)","44.58"
2013-06-01,"Küssnacht (SZ)","51.77"
2013-07-01,"Küssnacht (SZ)","56.25"
2013-08-01,"Küssnacht (SZ)","63.85"
2013-09-01,"Küssnacht (SZ)","52.52"
2013-10-01,"Küssnacht (SZ)","43.06"
2013-11-01,"Küssnacht (SZ)","39.29"
2013-12-01,"Küssnacht (SZ)","30.92"
2014-01-01,"Küssnacht (SZ)","31.96"
2014-02-01,"Küssnacht (SZ)","29.46"
2014-03-01,"Küssnacht (SZ)","40.48"
2014-04-01,"Küssnacht (SZ)","39.83"
2014-05-01,"Küssnacht (SZ)","48.82"
2014-06-01,"Küssnacht (SZ)","56.83"
2014-07-01,"Küssnacht (SZ)","56.5"
2014-08-01,"Küssnacht (SZ)","64.47"
2014-09-01,"Küssnacht (SZ)","59.21"
2014-10-01,"Küssnacht (SZ)","47.67"
2014-11-01,"Küssnacht (SZ)","39.36"
2014-12-01,"Küssnacht (SZ)","38.39"
2015-01-01,"Küssnacht (SZ)","37.99"
2015-02-01,"Küssnacht (SZ)","36.48"
2015-03-01,"Küssnacht (SZ)","41.79"
2015-04-01,"Küssnacht (SZ)","43.96"
2015-05-01,"Küssnacht (SZ)","45.63"
2015-06-01,"Küssnacht (SZ)","60.12"
2015-07-01,"Küssnacht (SZ)","53.26"
2015-08-01,"Küssnacht (SZ)","56.31"
2015-09-01,"Küssnacht (SZ)","51.42"
2015-10-01,"Küssnacht (SZ)","47.57"
2015-11-01,"Küssnacht (SZ)","40.52"
2015-12-01,"Küssnacht (SZ)","38.42"
2016-01-01,"Küssnacht (SZ)","26.7"
2016-02-01,"Küssnacht (SZ)","34.16"
2016-03-01,"Küssnacht (SZ)","43.47"
2016-04-01,"Küssnacht (SZ)","46.7"
2016-05-01,"Küssnacht (SZ)","50.12"
2016-06-01,"Küssnacht (SZ)","58.32"
2016-07-01,"Küssnacht (SZ)","58.11"
2016-08-01,"Küssnacht (SZ)","61.08"
2016-09-01,"Küssnacht (SZ)","53.77"
2016-10-01,"Küssnacht (SZ)","48.19"
2016-11-01,"Küssnacht (SZ)","38.12"
2016-12-01,"Küssnacht (SZ)","29.41"
2017-01-01,"Küssnacht (SZ)","25.71"
2017-02-01,"Küssnacht (SZ)","37.06"
2017-03-01,"Küssnacht (SZ)","26.58"
2017-04-01,"Küssnacht (SZ)","41.57"
2017-05-01,"Küssnacht (SZ)","48.8"
2017-06-01,"Küssnacht (SZ)","54.14"
2017-07-01,"Küssnacht (SZ)","57.95"
2017-08-01,"Küssnacht (SZ)","57.69"
2017-09-01,"Küssnacht (SZ)","52.13"
2017-10-01,"Küssnacht (SZ)","39.98"
2017-11-01,"Küssnacht (SZ)","30.54"
2017-12-01,"Küssnacht (SZ)","25.21"
2018-01-01,"Küssnacht (SZ)","33.11"
2018-02-01,"Küssnacht (SZ)","30.86"
2018-03-01,"Küssnacht (SZ)","34.46"
2018-04-01,"Küssnacht (SZ)","35.32"
2018-05-01,"Küssnacht (SZ)","47.04"
2018-06-01,"Küssnacht (SZ)","58.44"
2018-07-01,"Küssnacht (SZ)","62.12"
2018-08-01,"Küssnacht (SZ)","64.11"
2018-09-01,"Küssnacht (SZ)","58.73"
2018-10-01,"Küssnacht (SZ)","45.98"
2018-11-01,"Küssnacht (SZ)","37"
2018-12-01,"Küssnacht (SZ)","37.45"
2019-01-01,"Küssnacht (SZ)","35.55"
2019-02-01,"Küssnacht (SZ)","42.13"
2019-03-01,"Küssnacht (SZ)","35.63"
2019-04-01,"Küssnacht (SZ)","44.9"
2019-05-01,"Küssnacht (SZ)","54.02"
2019-06-01,"Küssnacht (SZ)","62.41"
2019-07-01,"Küssnacht (SZ)","62.04"
2019-08-01,"Küssnacht (SZ)","62.68"
2019-09-01,"Küssnacht (SZ)","55.42"
2019-10-01,"Küssnacht (SZ)","50.2"
2019-11-01,"Küssnacht (SZ)","36.64"
2019-12-01,"Küssnacht (SZ)","42.49"
2020-01-01,"Küssnacht (SZ)","30"
2020-02-01,"Küssnacht (SZ)","28.96"
2020-03-01,"Küssnacht (SZ)","17.54"
2020-04-01,"Küssnacht (SZ)","3.98"
2020-05-01,"Küssnacht (SZ)","21.71"
2020-06-01,"Küssnacht (SZ)","32.46"
2020-07-01,"Küssnacht (SZ)","60.6"
2020-08-01,"Küssnacht (SZ)","51.19"
2020-09-01,"Küssnacht (SZ)","48.51"
2020-10-01,"Küssnacht (SZ)","32.97"
2020-11-01,"Küssnacht (SZ)","24.77"
2020-12-01,"Küssnacht (SZ)","25.82"
2021-01-01,"Küssnacht (SZ)","22.12"
2021-02-01,"Küssnacht (SZ)","30.45"
2021-03-01,"Küssnacht (SZ)","35.25"
2021-04-01,"Küssnacht (SZ)","40.4"
2021-05-01,"Küssnacht (SZ)","48.91"
2021-06-01,"Küssnacht (SZ)","44.75"
2021-07-01,"Küssnacht (SZ)","52.91"
2021-08-01,"Küssnacht (SZ)","61.27"
2021-09-01,"Küssnacht (SZ)","52.71"
2021-10-01,"Küssnacht (SZ)","44.61"
2021-11-01,"Küssnacht (SZ)","38.03"
2021-12-01,"Küssnacht (SZ)","30.78"
2022-01-01,"Küssnacht (SZ)","27.52"
2022-02-01,"Küssnacht (SZ)","43.43"
2022-03-01,"Küssnacht (SZ)","40.29"
2022-04-01,"Küssnacht (SZ)","41.29"
2022-05-01,"Küssnacht (SZ)","50.94"
2022-06-01,"Küssnacht (SZ)","60.88"
2022-07-01,"Küssnacht (SZ)","64.82"
2022-08-01,"Küssnacht (SZ)","68.72"
2022-09-01,"Küssnacht (SZ)","64.42"
2022-10-01,"Küssnacht (SZ)","50.67"
2022-11-01,"Küssnacht (SZ)","38.94"
2022-12-01,"Küssnacht (SZ)","42.39"
2023-01-01,"Küssnacht (SZ)","33.38"
2023-02-01,"Küssnacht (SZ)","33.08"
