stn;time;hns010d0;qhns010d0;mhns010d0;hns002d0;qhns002d0;mhns002d0;hto000d0;qhto000d0;mhto000d0;hns003d0;qhns003d0;mhns003d0;hns004d0;qhns004d0;mhns004d0;hns005d0;qhns005d0;mhns005d0;hns000d0;qhns000d0;mhns000d0
SWZ;19981116;-;-;-;-;-;-;3;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981117;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981118;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981119;-;-;-;-;-;-;4;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981120;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981126;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981128;-;-;-;-;-;-;4;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981203;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981204;-;-;-;-;-;-;10;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981205;-;-;-;-;-;-;13;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981206;-;-;-;-;-;-;12;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981207;-;-;-;-;-;-;23;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981208;-;-;-;-;-;-;11;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981209;-;-;-;-;-;-;9;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981210;-;-;-;-;-;-;6;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981211;-;-;-;-;-;-;4;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981212;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981213;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981217;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981219;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981220;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981221;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981222;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981223;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981224;-;-;-;-;-;-;1;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981225;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981226;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981227;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981228;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981230;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19981231;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19990101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19990102;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19990103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19990104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19990105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
SWZ;19990106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
