stn;time;tre200nn;qtre200nn;mtre200nn
NABRIG;19910614;9.4;0;0
NABRIG;19910615;11.3;0;0
NABRIG;19910616;12.7;0;0
NABRIG;19910617;6.2;0;0
NABRIG;19910618;-;-;-
NABRIG;19910619;5.0;0;0
NABRIG;19910620;6.2;0;0
NABRIG;19910621;8.3;0;0
NABRIG;19910622;13.7;0;0
NABRIG;19910623;13.2;0;0
NABRIG;19910624;15.2;0;0
NABRIG;19910625;15.6;0;0
NABRIG;19910626;16.0;0;0
NABRIG;19910627;13.7;0;0
NABRIG;19910628;6.4;0;0
NABRIG;19910629;5.8;0;0
NABRIG;19910630;6.7;0;0
NABRIG;19910701;10.7;0;0
NABRIG;19910702;14.5;0;0
NABRIG;19910703;14.2;0;0
NABRIG;19910704;13.6;0;0
NABRIG;19910705;15.4;0;0
NABRIG;19910706;16.6;0;0
NABRIG;19910707;16.3;0;0
NABRIG;19910708;14.2;0;0
NABRIG;19910709;15.6;0;0
NABRIG;19910710;14.0;0;0
NABRIG;19910711;18.0;0;0
NABRIG;19910712;20.2;0;0
NABRIG;19910713;14.9;0;0
NABRIG;19910714;12.1;0;0
NABRIG;19910715;11.3;0;0
NABRIG;19910716;12.4;0;0
NABRIG;19910717;13.3;0;0
NABRIG;19910718;11.8;0;0
NABRIG;19910719;17.4;0;0
NABRIG;19910720;16.1;0;0
NABRIG;19910721;12.4;0;0
NABRIG;19910722;12.7;0;0
NABRIG;19910723;14.8;0;0
NABRIG;19910724;15.3;0;0
NABRIG;19910725;11.2;0;0
NABRIG;19910726;8.6;0;0
NABRIG;19910727;9.0;0;0
NABRIG;19910728;8.7;0;0
NABRIG;19910729;10.9;0;0
NABRIG;19910730;16.3;0;0
NABRIG;19910731;11.7;0;0
NABRIG;19910801;10.8;0;0
NABRIG;19910802;11.6;0;0
NABRIG;19910803;12.5;0;0
NABRIG;19910804;13.6;0;0
NABRIG;19910805;12.9;0;0
NABRIG;19910806;15.8;0;0
NABRIG;19910807;18.6;0;0
NABRIG;19910808;18.5;0;0
NABRIG;19910809;12.9;0;0
NABRIG;19910810;14.2;0;0
NABRIG;19910811;15.1;0;0
NABRIG;19910812;17.2;0;0
NABRIG;19910813;16.0;0;0
NABRIG;19910814;15.2;0;0
NABRIG;19910815;13.6;0;0
NABRIG;19910816;14.8;0;0
NABRIG;19910817;13.3;0;0
NABRIG;19910818;14.1;0;0
NABRIG;19910819;9.5;0;0
NABRIG;19910820;9.6;0;0
NABRIG;19910821;12.4;0;0
NABRIG;19910822;16.9;0;0
NABRIG;19910823;14.9;0;0
NABRIG;19910824;16.9;0;0
NABRIG;19910825;15.0;0;0
NABRIG;19910826;15.1;0;0
NABRIG;19910827;13.6;0;0
NABRIG;19910828;12.4;0;0
NABRIG;19910829;10.9;0;0
