"","year_month","days_below_zero"
"1",1991-12-01,22
"2",1992-01-01,22
"3",1992-02-01,12
"4",1992-03-01,8
"5",1992-12-01,17
"6",1993-01-01,8
"7",1993-02-01,20
"8",1993-03-01,17
"9",1993-12-01,15
"10",1994-01-01,18
"11",1994-02-01,15
"12",1994-03-01,2
"13",1994-12-01,16
"14",1995-01-01,25
"15",1995-02-01,10
"16",1995-03-01,19
"17",1995-12-01,20
"18",1996-01-01,18
"19",1996-02-01,25
"20",1996-03-01,19
"21",1996-12-01,17
"22",1997-01-01,20
"23",1997-02-01,10
"24",1997-03-01,6
"25",1997-12-01,17
"26",1998-01-01,15
"27",1998-02-01,11
"28",1998-03-01,15
"29",1998-12-01,16
"30",1999-01-01,13
"31",1999-02-01,21
"32",1999-03-01,13
"33",1999-12-01,15
"34",2000-01-01,23
"35",2000-02-01,11
"36",2000-03-01,12
"37",2000-12-01,9
"38",2001-01-01,16
"39",2001-02-01,18
"40",2001-03-01,7
"41",2001-12-01,24
"42",2002-01-01,19
"43",2002-02-01,11
"44",2002-03-01,11
"45",2002-12-01,16
"46",2003-01-01,23
"47",2003-02-01,24
"48",2003-03-01,11
"49",2003-12-01,18
"50",2004-01-01,26
"51",2004-02-01,20
"52",2004-03-01,20
"53",2004-12-01,20
"54",2005-01-01,17
"55",2005-02-01,26
"56",2005-03-01,14
"57",2005-12-01,29
"58",2006-01-01,28
"59",2006-02-01,25
"60",2006-03-01,19
"61",2006-12-01,17
"62",2007-01-01,10
"63",2007-02-01,10
"64",2007-03-01,13
"65",2007-12-01,24
"66",2008-01-01,16
"67",2008-02-01,17
"68",2008-03-01,17
"69",2008-12-01,26
"70",2009-01-01,30
"71",2009-02-01,24
"72",2009-03-01,22
"73",2009-12-01,22
"74",2010-01-01,29
"75",2010-02-01,21
"76",2010-03-01,15
"77",2010-12-01,25
"78",2011-01-01,19
"79",2011-02-01,13
"80",2011-03-01,12
"81",2011-12-01,16
"82",2012-01-01,23
"83",2012-02-01,25
"84",2012-03-01,10
"85",2012-12-01,15
"86",2013-01-01,24
"87",2013-02-01,26
"88",2013-03-01,22
"89",2013-12-01,16
"90",2014-01-01,19
"91",2014-02-01,19
"92",2014-03-01,12
"93",2014-12-01,19
"94",2015-01-01,22
"95",2015-02-01,25
"96",2015-03-01,13
"97",2015-12-01,2
"98",2016-01-01,16
"99",2016-02-01,17
"100",2016-03-01,23
"101",2016-12-01,14
"102",2017-01-01,27
"103",2017-02-01,16
"104",2017-03-01,4
"105",2017-12-01,23
"106",2018-01-01,10
"107",2018-02-01,25
"108",2018-03-01,13
"109",2018-12-01,12
"110",2019-01-01,28
"111",2019-02-01,14
"112",2019-03-01,10
"113",2019-12-01,11
"114",2020-01-01,10
"115",2020-02-01,11
"116",2020-03-01,13
"117",2020-12-01,19
"118",2021-01-01,24
"119",2021-02-01,9
"120",2021-03-01,16
"121",2021-12-01,17
"122",2022-01-01,22
"123",2022-02-01,15
"124",2022-03-01,7
"125",2022-12-01,18
"126",2023-01-01,17
"127",2023-02-01,15
"128",2023-03-01,13
"129",2023-12-01,11
