 

stn;time;tre200nn;qtre200nn;mtre200nn
INNSWZ;20180424;9.7;0;0
INNSWZ;20180425;10.8;0;0
INNSWZ;20180426;10.8;0;0
INNSWZ;20180427;6.1;0;0
INNSWZ;20180428;9.8;0;0
INNSWZ;20180429;12.8;0;0
INNSWZ;20180430;7.5;0;0
INNSWZ;20180501;8.5;0;0
INNSWZ;20180502;7.9;0;0
INNSWZ;20180503;9.7;0;0
INNSWZ;20180504;10.0;0;0
INNSWZ;20180505;10.2;0;0
INNSWZ;20180506;10.9;0;0
INNSWZ;20180507;11.3;0;0
INNSWZ;20180508;10.3;0;0
INNSWZ;20180509;11.6;0;0
INNSWZ;20180510;10.9;0;0
INNSWZ;20180511;7.3;0;0
INNSWZ;20180512;10.4;0;0
INNSWZ;20180513;12.7;0;0
INNSWZ;20180514;9.3;0;0
INNSWZ;20180515;8.3;0;0
INNSWZ;20180516;9.1;0;0
INNSWZ;20180517;9.6;0;0
INNSWZ;20180518;7.1;0;0
INNSWZ;20180519;8.4;0;0
INNSWZ;20180520;10.8;0;0
INNSWZ;20180521;9.8;0;0
INNSWZ;20180522;10.8;0;0
INNSWZ;20180523;12.1;0;0
INNSWZ;20180524;15.0;0;0
INNSWZ;20180525;11.8;0;0
INNSWZ;20180526;13.9;0;0
INNSWZ;20180527;13.6;0;0
INNSWZ;20180528;16.6;0;0
INNSWZ;20180529;18.2;0;0
INNSWZ;20180530;13.5;0;0
INNSWZ;20180531;15.8;0;0
INNSWZ;20180601;14.3;0;0
INNSWZ;20180602;14.6;0;0
INNSWZ;20180603;15.0;0;0
INNSWZ;20180604;17.1;0;0
INNSWZ;20180605;15.7;0;0
INNSWZ;20180606;16.0;0;0
INNSWZ;20180607;18.5;0;0
INNSWZ;20180608;17.4;0;0
INNSWZ;20180609;15.2;0;0
INNSWZ;20180610;15.1;0;0
INNSWZ;20180611;17.0;0;0
INNSWZ;20180612;16.3;0;0
INNSWZ;20180613;13.7;0;0
INNSWZ;20180614;9.1;0;0
INNSWZ;20180615;11.8;0;0
INNSWZ;20180616;12.7;0;0
INNSWZ;20180617;15.3;0;0
INNSWZ;20180618;15.9;0;0
INNSWZ;20180619;15.1;0;0
INNSWZ;20180620;15.5;0;0
INNSWZ;20180621;18.4;0;0
INNSWZ;20180622;13.6;0;0
INNSWZ;20180623;10.5;0;0
INNSWZ;20180624;11.5;0;0
INNSWZ;20180625;15.5;0;0
INNSWZ;20180626;11.8;0;0
INNSWZ;20180627;14.3;0;0
INNSWZ;20180628;12.7;0;0
INNSWZ;20180629;13.5;0;0
INNSWZ;20180630;16.3;0;0
INNSWZ;20180701;17.8;0;0
INNSWZ;20180702;18.3;0;0
INNSWZ;20180703;20.0;0;0
INNSWZ;20180704;16.9;0;0
INNSWZ;20180705;17.0;0;0
INNSWZ;20180706;15.7;0;0
INNSWZ;20180707;14.2;0;0
INNSWZ;20180708;14.6;0;0
INNSWZ;20180709;16.2;0;0
INNSWZ;20180710;17.3;0;0
INNSWZ;20180711;16.4;0;0
INNSWZ;20180712;12.6;0;0
INNSWZ;20180713;14.5;0;0
INNSWZ;20180714;17.2;0;0
INNSWZ;20180715;16.2;0;0
INNSWZ;20180716;13.3;0;0
INNSWZ;20180717;17.0;0;0
INNSWZ;20180718;14.4;0;0
INNSWZ;20180719;16.4;0;0
INNSWZ;20180720;17.7;0;0
INNSWZ;20180721;16.0;0;0
INNSWZ;20180722;15.8;0;0
INNSWZ;20180723;17.3;0;0
INNSWZ;20180724;15.2;0;0
INNSWZ;20180725;18.6;0;0
INNSWZ;20180726;17.6;0;0
INNSWZ;20180727;17.6;0;0
INNSWZ;20180728;19.4;0;0
INNSWZ;20180729;15.9;0;0
INNSWZ;20180730;18.7;0;0
